,Player,Team,DYAR,DVOA,Targets,Yards,EfYds,TD,Catch_rate,Year,Yds
240,B.Hill,TB,287,20.20%,114,,"1,133",9,51%,1988,"1,040"
241,M.Jackson,DEN,280,36.40%,75,,878,6,61%,1988,852
242,A.Carter,MIN,263,13.10%,129,,"1,218",6,56%,1988,"1,225"
243,E.Martin,NO,258,12.20%,134,,"1,224",7,63%,1988,"1,083"
244,J.Rice,SF,247,14.10%,121,,"1,118",9,53%,1988,"1,306"
245,H.Jones,MIN,229,28.70%,73,,788,5,55%,1988,778
246,B.Brooks,IND,229,17.70%,97,,950,3,56%,1988,867
247,V.Johnson,DEN,222,12.20%,115,,"1,055",5,59%,1988,896
248,M.Fernandez,LARD,205,30.80%,64,,686,4,48%,1988,804
249,J.Jensen,MIA,194,20.00%,75,,771,5,77%,1988,652
250,A.Reed,BUF,189,8.80%,113,,996,6,63%,1988,968
251,Br.Blades,SEA,184,18.60%,77,,749,8,52%,1988,682
252,M.Carrier,TB,179,9.10%,109,,935,5,52%,1988,970
253,R.Green,PHX,175,4.30%,134,,"1,101",7,51%,1988,"1,097"
254,S.Baker,NYG,171,19.30%,69,,686,7,58%,1988,656
255,J.T.Smith,PHX,170,5.10%,128,,"1,028",5,65%,1988,986
256,A.Monk,WAS,166,4.70%,123,,"1,022",5,59%,1988,946
257,E.Givins,HOIL,149,3.50%,120,,971,5,50%,1988,976
258,M.Irvin,DAL,149,19.10%,61,,600,5,52%,1988,653
259,Ti.McGee,CIN,144,12.00%,74,,690,6,49%,1988,686
260,R.Alexander,DAL,142,5.70%,102,,838,6,53%,1988,788
261,C.Carter,PHI,134,8.10%,86,,722,6,45%,1988,761
262,S.Largent,SEA,128,12.70%,65,,602,2,60%,1988,645
263,L.Manuel,NYG,123,-0.10%,126,,976,4,52%,1988,"1,029"
264,G.Clark,WAS,121,-0.50%,127,,983,7,46%,1988,892
265,S.Sharpe,GB,114,4.00%,91,,722,1,60%,1988,791
266,C.Verdin,IND,106,16.20%,48,,456,4,42%,1988,437
267,K.Martin,DAL,99,1.60%,93,,711,3,53%,1988,622
268,T.Brown,LARD,88,2.70%,81,,594,5,53%,1988,725
269,S.Paige,KC,86,-3.30%,117,,869,7,52%,1988,902
270,A.Cox,LARM,85,3.20%,67,,561,5,42%,1988,590
271,A.Toon,NYJ,84,-5.90%,155,,"1,130",5,60%,1988,"1,066"
272,D.McKinnon,CHI,83,0.90%,77,,620,3,58%,1988,704
273,Ro.Morris,CHI,83,5.00%,61,,503,4,46%,1988,498
274,T.Johnson,BUF,77,4.10%,61,,486,0,61%,1988,514
275,R.Langhorne,CLE1,69,-3.80%,94,,737,7,61%,1988,780
276,J.Holland,SD,69,0.10%,69,,537,1,57%,1988,536
277,I.Fryar,NE,50,-3.00%,67,,499,5,49%,1988,490
278,P.Mandley,DET,49,-5.40%,92,,626,4,48%,1988,617
279,Mi.Wilson,SF,40,-4.80%,64,,480,3,52%,1988,405
280,L.Hill,NO,37,-8.10%,107,,723,7,62%,1988,703
281,J.Chadwick,DET,32,-4.40%,51,,369,3,39%,1988,304
282,C.Weathers,CLE1,32,-4.40%,53,,364,1,55%,1988,437
283,M.Bouza,IND,31,-4.60%,52,,361,4,48%,1988,342
284,D.Gentry,CHI,30,-6.90%,65,,460,3,51%,1988,486
285,C.Lockett,PIT,29,-5.20%,52,,360,1,42%,1988,365
286,S.Morgan,NE,29,-7.50%,72,,497,4,43%,1988,495
287,P.Kemp,GB,28,-7.20%,71,,465,0,68%,1988,630
288,M.Duper,MIA,26,-9.10%,88,,632,1,44%,1988,626
289,W.Walker,NYJ,20,-9.30%,76,,522,7,34%,1988,551
290,E.Harry,KC,9,-10.50%,54,,349,1,48%,1988,362
291,W.Slaughter,CLE1,8,-11.20%,67,,451,3,45%,1988,462
292,Ro.Johnson,PHI,1,-12.50%,55,,356,2,35%,1988,417
293,C.Carson,KC,0,-12.70%,99,,614,3,46%,1988,711
294,C.Bland,DET,-5,-14.00%,51,,309,2,41%,1988,307
295,B.Brennan,CLE1,-7,-13.70%,86,,530,1,53%,1988,579
296,A.Miller,SD,-20,-15.80%,81,,489,3,44%,1988,526
297,R.Nattiel,DEN,-23,-16.30%,89,,492,1,52%,1988,574
298,P.Scott,GB,-33,-21.60%,50,,251,1,40%,1988,275
299,C.Burkett,BUF,-35,-21.00%,56,,291,1,41%,1988,354
300,P.Skansi,SEA,-40,-23.20%,51,,248,1,47%,1988,238
301,L.Lipps,PIT,-46,-17.20%,129,,744,5,39%,1988,973
302,J.Lofton,LARD,-55,-22.60%,75,,366,0,37%,1988,549
303,C.Jones,NE,-74,-31.10%,53,,218,1,42%,1988,313
304,Ga.Lee,DET,-82,-31.60%,59,,231,1,37%,1988,261
305,W.Gault,LARD,-87,-30.30%,66,,274,2,24%,1988,392
306,C.Duncan,HOIL,-90,-34.50%,55,,203,1,40%,1988,302
307,F.Dixon,ATL,-125,-34.80%,73,,275,2,38%,1988,368
308,Q.Early,SD,-153,-38.90%,75,,249,4,39%,1988,375
309,E.Jones,PHX,156,41.20%,40,,467,3,58%,1988,496
310,M.Quick,PHI,144,29.00%,44,,495,4,50%,1988,508
311,F.Banks,MIA,136,35.10%,39,,432,2,59%,1988,430
312,W.Stanley,GB,101,15.50%,47,,441,0,60%,1988,436
313,S.Bailey,ATL,78,13.50%,39,,356,2,44%,1988,437
314,S.Robinson,NYG,66,57.90%,14,,175,3,50%,1988,143
315,F.Johnson,BUF,63,55.40%,11,,168,1,82%,1988,170
316,J.Gustafson,MIN,59,14.40%,27,,265,1,56%,1988,231
317,O.Turner,NYG,38,21.20%,15,,147,1,67%,1988,128
318,R.Butler,SEA,37,0.10%,37,,288,4,49%,1988,242
319,S.Schwedes,MIA,35,33.40%,10,,113,0,60%,1988,130
320,M.Haynes,ATL,33,0.80%,31,,249,4,42%,1988,232
321,C.Collinsworth,CIN,32,6.30%,24,,182,1,54%,1988,227
322,K.Taylor,KC,30,17.40%,13,,123,0,69%,1988,105
323,S.Starring,2TM,28,8.80%,17,,148,0,47%,1988,164
324,T.Greer,SF,26,10.30%,15,,130,0,53%,1988,120
325,J.Taylor,SF,24,-3.40%,35,,251,2,40%,1988,325
326,T.Johnson,PIT,17,-2.80%,25,,169,0,40%,1988,237
327,F.Anderson,LARM,16,-5.90%,32,,215,0,34%,1988,319
328,I.Hillary,CIN,10,-4.50%,15,,112,1,33%,1988,76
329,M.Bellini,IND,2,-10.40%,10,,62,0,50%,1988,64
330,P.McConkey,NYG,1,-11.20%,10,,61,0,50%,1988,72
331,G.Garrity,PHI,1,-12.50%,36,,225,1,47%,1988,208
332,K.Edwards,DAL,-1,-14.00%,14,,80,0,36%,1988,93
333,Da.Flutie,SD,-3,-14.10%,32,,188,2,56%,1988,208
334,W.Thompson,PIT,-4,-13.80%,46,,279,1,35%,1988,370
335,G.Kozlowski,CHI,-4,-18.30%,11,,54,0,27%,1988,92
336,L.Harris,HOIL,-5,-15.90%,20,,114,0,50%,1988,136
337,A.Matthews,2TM,-14,-16.90%,41,,250,2,49%,1988,231
338,M.Ingram,NYG,-14,-20.60%,24,,126,1,54%,1988,158
339,W.Davis,CHI,-21,-20.00%,36,,201,0,42%,1988,220
340,K.Sohn,NYJ,-25,-27.80%,21,,97,2,33%,1988,66
341,F.Pillow,TB,-29,-22.80%,39,,191,1,38%,1988,206
342,J.Hester,ATL,-33,-28.80%,28,,117,0,43%,1988,176
343,G.Taylor,TB,-34,-41.80%,15,,45,0,33%,1988,53
344,W.Drewrey,HOIL,-36,-29.00%,30,,124,1,37%,1988,170
345,G.McNeil,CLE1,-38,-47.50%,14,,33,0,36%,1988,74
346,T.Kane,SEA,-39,-60.60%,12,,9,0,50%,1988,32
347,P.Epps,GB,-39,-33.50%,24,,96,0,46%,1988,99
348,R.Clark,NO,-46,-26.40%,45,,204,2,42%,1988,245
349,B.Perriman,NO,-51,-27.10%,47,,213,2,34%,1988,215
350,E.Gay,DAL,-51,-32.20%,35,,138,1,43%,1988,205
351,W.Chandler,SF,-55,-59.30%,15,,15,0,27%,1988,33
352,L.Lewis,MIN,-63,-39.40%,31,,99,1,35%,1988,141
353,J.Rice,SF,563,45.10%,129,,"1,626",17,64%,1989,"1,483"
354,St.Sharpe,GB,425,25.50%,145,,"1,534",12,62%,1989,"1,423"
355,J.Taylor,SF,409,56.30%,75,,"1,085",10,80%,1989,"1,077"
356,F.Anderson,LARM,341,38.40%,86,,"1,042",5,51%,1989,"1,146"
357,H.Ellard,LARM,340,21.00%,134,,"1,322",8,52%,1989,"1,382"
358,Dr.Hill,HOIL,306,25.80%,104,,"1,099",8,63%,1989,938
359,Ti.McGee,CIN,302,17.40%,127,,"1,263",8,51%,1989,"1,212"
360,A.Monk,WAS,281,13.60%,136,,"1,284",8,63%,1989,"1,190"
361,V.Johnson,DEN,250,13.80%,122,,"1,140",7,62%,1989,"1,095"
362,M.Carrier,TB,249,8.50%,153,,"1,326",9,56%,1989,"1,422"
363,E.Martin,NO,243,14.60%,113,,"1,082",8,60%,1989,"1,090"
364,R.Johnson,DET,241,16.30%,109,,"1,032",8,64%,1989,"1,091"
365,A.Reed,BUF,214,5.10%,152,,"1,295",9,58%,1989,"1,313"
366,J.T.Smith,PHX,205,17.60%,88,,854,5,70%,1989,777
367,R.Sanders,WAS,197,5.00%,139,,"1,202",4,58%,1989,"1,138"
368,A.Toon,NYJ,194,17.30%,87,,814,2,72%,1989,693
369,L.Lipps,PIT,194,12.40%,97,,916,5,52%,1989,944
370,A.Miller,SD,191,4.30%,148,,"1,197",10,51%,1989,"1,252"
371,W.Slaughter,CLE1,190,7.40%,120,,"1,049",6,54%,1989,"1,236"
372,Br.Blades,SEA,189,6.00%,133,,"1,104",5,58%,1989,"1,063"
373,G.Clark,WAS,187,3.70%,148,,"1,205",9,53%,1989,"1,229"
374,J.Townsell,NYJ,177,16.50%,82,,755,5,55%,1989,787
375,M.Fernandez,LARD,168,5.80%,116,,984,9,49%,1989,"1,069"
376,A.Carter,MIN,159,3.90%,126,,"1,015",4,52%,1989,"1,066"
377,M.Haynes,ATL,150,15.00%,68,,662,4,59%,1989,681
378,C.Duncan,HOIL,149,15.40%,70,,651,5,61%,1989,613
379,E.Brown,CIN,147,7.30%,95,,816,6,55%,1989,814
380,M.Clayton,MIA,147,2.80%,122,,988,9,52%,1989,"1,011"
381,S.Paige,KC,137,12.80%,69,,638,2,64%,1989,759
382,L.Hill,NO,134,10.90%,74,,660,4,65%,1989,636
383,E.Givins,HOIL,127,2.30%,105,,876,3,52%,1989,804
384,R.Clark,DET,124,8.60%,78,,656,2,53%,1989,748
385,S.Collins,ATL,124,2.40%,107,,850,3,54%,1989,862
386,B.Brooks,IND,118,0.60%,112,,899,4,56%,1989,918
387,L.Manuel,NYG,114,14.40%,58,,511,1,57%,1989,539
388,H.Jeffires,HOIL,114,6.20%,79,,657,2,59%,1989,619
389,P.Skansi,SEA,109,8.80%,68,,573,5,57%,1989,488
