,Player,Team,DYAR,DVOA,Rushes,Yards,EfYds,TD,Suc_rate,Year,Yds
110,L.Kinnebrew,CIN,191,18.60%,145,,916,8,61%,1987,569
111,J.L.Williams,SEA,158,20.80%,113,,716,1,69%,1987,500
112,A.Bentley,IND,146,15.00%,142,,767,7,60%,1987,631
113,B.Jackson,LARD,144,37.10%,81,,503,4,52%,1987,555
114,E.Byner,CLE1,134,18.50%,105,,643,8,58%,1987,427
115,T.Stradford,MIA,128,11.80%,145,,748,6,54%,1987,619
116,S.Mitchell,STLC,123,5.70%,204,,940,3,49%,1987,783
117,E.Dickerson,2TM,120,1.30%,283,,"1,232",6,53%,1987,"1,288"
118,C.Okoye,KC,115,7.90%,157,,786,3,54%,1987,660
119,S.Winder,DEN,96,2.10%,197,,922,6,60%,1987,745
120,K.Mack,CLE1,92,1.60%,201,,921,5,53%,1987,735
121,G.Riggs,ATL,76,0.10%,203,,880,2,55%,1987,875
122,D.Hilliard,NO,74,6.10%,123,,553,7,46%,1987,508
123,J.Wilder,TB,73,8.10%,106,,493,0,47%,1987,488
124,M.Rozier,HOIL,72,-0.80%,229,,920,3,48%,1987,942
125,C.White,LARM,66,-2.30%,251,,"1,011",10,47%,1987,"1,035"
126,C.Adams,SD,65,9.00%,90,,427,1,51%,1987,343
127,M.Allen,LARD,64,-1.10%,200,,846,5,47%,1987,754
128,R.Harmon,BUF,60,4.50%,116,,495,2,48%,1987,481
129,N.Anderson,CHI,57,2.20%,129,,547,3,47%,1987,587
130,A.Toney,PHI,55,1.80%,128,,546,5,41%,1987,472
131,D.Nelson,MIN,54,1.60%,131,,546,2,47%,1987,642
132,H.Heard,KC,51,6.20%,82,,378,3,59%,1987,463
133,F.Pollard,PIT,50,2.70%,113,,458,3,47%,1987,459
134,R.Mayes,NO,46,-3.70%,245,,901,5,43%,1987,924
135,G.Rogers,WAS,45,-2.50%,163,,722,6,52%,1987,613
136,J.Mueller,BUF,43,3.90%,82,,367,2,54%,1987,332
137,F.McNeil,NYJ,29,-2.20%,122,,448,0,46%,1987,530
138,H.Walker,DAL,29,-5.20%,209,,784,7,44%,1987,891
139,W.Payton,CHI,26,-4.60%,146,,606,4,50%,1987,532
140,G.Lang,DEN,22,-2.90%,89,,367,2,48%,1987,303
141,B.Fullwood,GB,19,-3.40%,83,,351,5,48%,1987,274
142,K.Davis,GB,19,-3.90%,109,,373,3,39%,1987,413
143,Ea.Jackson,PIT,17,-5.40%,119,,470,0,50%,1987,434
144,T.Dorsett,DAL,2,-8.00%,107,,335,0,39%,1987,348
145,J.Brooks,CIN,-1,-8.80%,92,,310,1,45%,1987,296
146,J.Jones,DET,-5,-9.80%,95,,341,0,49%,1987,346
147,K.Byars,PHI,-13,-11.50%,116,,380,3,44%,1987,428
148,To.Collins,NE,-18,-11.90%,132,,433,3,39%,1987,450
149,G.W.Anderson,SD,-23,-14.90%,80,,276,3,44%,1987,260
150,Jo.Morris,NYG,-33,-12.50%,193,,667,3,45%,1987,663
151,G.James,DET,-36,-18.00%,82,,271,4,51%,1987,270
152,R.Dupard,NE,-42,-20.70%,94,,233,3,41%,1987,318
153,J.Smith,TB,-47,-18.80%,100,,318,2,44%,1987,308
154,R.Craig,SF,-47,-14.80%,181,,575,1,43%,1987,649
155,W.Abercrombie,PIT,-77,-24.00%,123,,302,2,45%,1987,459
156,E.Ferrell,STLC,154,42.40%,71,,508,5,,1987,366
157,Al.Anderson,MIN,80,17.10%,68,,395,2,,1987,319
158,T.Sanders,CHI,62,55.00%,23,,183,1,,1987,122
159,P.O.Carruth,GB,61,12.00%,64,,351,3,,1987,192
160,S.Jennings,CIN,60,12.20%,70,,348,1,,1987,314
161,A.Pinkett,HOIL,59,36.60%,31,,210,2,,1987,149
162,B.Johnson,CIN,57,22.10%,39,,252,1,,1987,205
163,B.Word,NO,47,20.30%,36,,218,2,,1987,133
164,T.Rathman,SF,41,6.00%,62,,306,1,,1987,257
165,K.Bryant,WAS,41,5.80%,78,,308,1,,1987,406
166,W.Bennett,MIA,33,23.40%,25,,140,0,,1987,102
167,R.Riddick,BUF,32,4.50%,48,,262,5,,1987,192
168,J.Cribbs,SF,31,2.80%,61,,283,1,,1987,232
169,J.Clark,GB,30,3.30%,56,,269,0,,1987,211
170,K.Bernard,DET,28,5.00%,45,,223,2,,1987,187
171,R.Davenport,MIA,23,6.10%,32,,172,1,,1987,114
172,L.Moriarty,KC,22,9.00%,30,,145,0,,1987,107
173,R.Fenney,MIN,21,0.60%,42,,233,2,,1987,174
174,P.Palmer,KC,19,13.60%,24,,106,0,,1987,155
175,G.Willhite,DEN,19,10.70%,26,,115,0,,1987,141
176,T.Newsome,DAL,16,5.90%,24,,120,2,,1987,116
177,G.Ellerson,DET,15,2.00%,31,,144,3,,1987,136
178,M.Haddix,PHI,11,-4.10%,59,,235,0,,1987,165
179,T.Manoa,CLE1,11,2.80%,23,,97,0,,1987,116
180,R.Wolfley,STLC,10,0.80%,26,,113,1,,1987,87
181,D.J.Dozier,MIN,7,-6.60%,69,,309,5,,1987,257
182,B.Perryman,NE,4,-6.50%,41,,158,0,,1987,187
183,V.Mueller,LARD,3,-6.40%,37,,134,1,,1987,175
184,C.Byrum,BUF,3,-5.40%,22,,88,0,,1987,82
185,H.Sydney,SF,3,-5.40%,22,,85,1,,1987,107
186,Ti.Smith,WAS,2,-6.90%,29,,111,0,,1987,126
187,L.Rouson,NYG,1,-7.70%,41,,129,0,,1987,154
188,C.Thomas,CHI,-2,-10.40%,25,,96,0,,1987,88
189,A.Highsmith,HOIL,-4,-11.40%,29,,105,1,,1987,106
190,G.Bell,2TM,-7,-16.40%,22,,62,0,,1987,86
191,R.Porter,BUF,-8,-13.20%,46,,144,0,,1987,178
192,R.Morris,SEA,-9,-19.30%,21,,55,0,,1987,71
193,K.Griffin,WAS,-9,-12.50%,62,,177,0,,1987,242
194,L.Hampton,MIA,-10,-11.60%,75,,273,1,,1987,289
195,G.Adams,NYG,-10,-12.50%,60,,211,1,,1987,164
196,S.Strachan,LARD,-16,-25.00%,22,,57,0,,1987,77
197,M.Carthon,NYG,-18,-22.60%,26,,82,0,,1987,60
198,Ti.Spencer,SD,-22,-16.10%,73,,220,0,,1987,228
199,M.Guman,LARM,-25,-22.80%,34,,110,1,,1987,96
200,J.Tautalatasi,PHI,-32,-36.90%,26,,46,0,,1987,69
201,J.Francis,LARM,-36,-48.90%,23,,18,0,,1987,69
202,B.Howard,TB,-39,-40.60%,30,,52,1,,1987,100
203,M.Tatupu,NE,-39,-19.70%,79,,238,1,,1987,248
204,R.Vick,NYJ,-40,-21.00%,77,,213,1,,1987,257
205,A.Rice,MIN,-82,-43.60%,50,,69,1,,1987,130
206,J.Brooks,CIN,353,40.20%,182,,"1,196",8,54%,1988,931
207,I.Woods,CIN,349,27.80%,203,,"1,389",15,62%,1988,"1,069"
208,R.Craig,SF,334,17.30%,310,,"1,650",9,55%,1988,"1,503"
209,E.Ferrell,PHX,325,26.20%,202,,"1,329",7,60%,1988,924
210,E.Dickerson,IND,270,7.60%,387,,"1,872",14,52%,1988,"1,664"
211,G.Bell,LARM,241,9.70%,288,,"1,529",16,51%,1988,"1,212"
212,H.Walker,DAL,210,5.20%,361,,"1,653",5,48%,1988,"1,514"
213,J.Settle,ATL,201,12.40%,233,,"1,152",7,50%,1988,"1,027"
214,R.Riddick,BUF,196,23.00%,111,,852,12,71%,1988,438
215,D.Hilliard,NO,164,10.70%,204,,"1,000",5,51%,1988,823
216,S.Mitchell,PHX,163,16.00%,164,,833,4,48%,1988,726
217,J.L.Williams,SEA,148,9.30%,189,,952,4,59%,1988,877
218,G.Riggs,ATL,138,18.80%,113,,658,1,49%,1988,488
219,G.W.Anderson,SD,123,4.90%,225,,987,3,53%,1988,"1,119"
220,N.Anderson,CHI,119,3.00%,249,,"1,078",12,46%,1988,"1,106"
221,M.Rozier,HOIL,119,2.00%,251,,"1,161",10,52%,1988,"1,002"
222,F.McNeil,NYJ,113,5.30%,219,,885,6,53%,1988,935
223,C.Okoye,KC,105,14.20%,105,,569,3,57%,1988,473
224,J.Hector,NYJ,104,7.10%,137,,737,10,59%,1988,561
225,A.Pinkett,HOIL,91,8.40%,122,,612,7,56%,1988,514
226,L.Hampton,MIA,88,7.30%,117,,617,9,55%,1988,412
227,B.Fullwood,GB,87,9.40%,100,,557,7,61%,1988,471
228,L.Tate,TB,82,6.80%,121,,593,7,44%,1988,486
229,R.Vick,NYJ,82,6.30%,128,,604,3,61%,1988,540
230,T.Rathman,SF,78,8.10%,102,,529,2,55%,1988,427
231,A.Toney,PHI,75,4.60%,139,,612,4,47%,1988,502
232,K.Mack,CLE1,51,0.50%,123,,563,3,55%,1988,485
233,K.Bryant,WAS,50,3.30%,108,,440,1,53%,1988,498
234,H.Heard,KC,36,0.00%,106,,423,0,44%,1988,438
235,J.Stephens,NE,33,-5.90%,297,,"1,131",4,52%,1988,"1,168"
236,W.Howard,TB,31,-2.20%,115,,472,1,55%,1988,452
237,S.Wilson,CIN,21,-4.30%,112,,452,2,51%,1988,398
238,M.Hoge,PIT,18,-6.20%,170,,672,3,54%,1988,704
239,Jo.Morris,NYG,18,-7.20%,307,,"1,137",5,50%,1988,"1,083"
240,S.Winder,DEN,8,-7.30%,149,,577,4,53%,1988,543
241,M.Allen,LARD,2,-8.40%,222,,845,7,52%,1988,843
242,C.Warner,SEA,1,-8.50%,266,,"1,025",10,49%,1988,"1,021"
243,K.Byars,PHI,0,-8.60%,152,,548,6,44%,1988,517
244,R.Mayes,NO,-9,-9.90%,170,,571,4,44%,1988,628
245,Ja.Morris,WAS,-12,-10.60%,126,,483,2,47%,1988,437
246,T.Thomas,BUF,-16,-10.40%,207,,698,2,49%,1988,881
247,D.Nelson,MIN,-23,-13.60%,112,,358,1,46%,1988,380
248,B.Jackson,LARD,-26,-13.50%,136,,415,3,47%,1988,578
249,T.Smith,WAS,-30,-12.70%,155,,577,3,41%,1988,469
250,T.Dorsett,DEN,-36,-13.30%,181,,603,5,52%,1988,703
251,A.Rice,MIN,-40,-16.50%,110,,372,6,36%,1988,322
252,G.James,DET,-47,-14.70%,182,,589,5,40%,1988,552
253,E.Byner,CLE1,-55,-16.80%,157,,484,3,40%,1988,576
254,B.Perryman,NE,-59,-17.40%,146,,481,7,46%,1988,448
255,P.Palmer,KC,-120,-30.20%,134,,283,2,40%,1988,452
256,R.Fenney,MIN,128,37.20%,55,,449,3,,1988,271
257,A.Anderson,MIN,120,19.10%,87,,566,7,,1988,300
258,O.Anderson,NYG,71,10.70%,65,,434,8,,1988,208
259,J.Saxon,KC,61,11.40%,60,,364,2,,1988,236
260,C.Heyward,NO,60,10.80%,74,,365,1,,1988,355
261,R.Davenport,MIA,59,17.00%,55,,296,0,,1988,279
262,D.J.Dozier,MIN,55,22.80%,42,,240,2,,1988,167
263,A.Highsmith,HOIL,44,2.90%,94,,405,2,,1988,466
264,T.Newsome,DAL,38,17.20%,32,,189,3,,1988,75
265,A.Bentley,IND,38,9.70%,45,,238,2,,1988,230
266,D.DuBose,SF,37,25.10%,24,,155,2,,1988,116
267,E.Jackson,PIT,36,3.00%,74,,328,3,,1988,315
268,Ro.Carter,PIT,34,12.40%,36,,194,3,,1988,216
269,S.Smith,LARD,32,7.60%,38,,220,3,,1988,162
270,T.Spencer,SD,31,8.80%,44,,201,0,,1988,215
271,B.Muster,CHI,30,7.70%,44,,204,0,,1988,197
272,M.Carthon,NYG,29,3.90%,46,,249,2,,1988,146
273,L.Mason,GB,24,3.90%,48,,207,0,,1988,194
274,M.Tatupu,NE,22,12.90%,22,,123,2,,1988,75
275,J.Wilder,TB,22,-2.50%,86,,344,1,,1988,343
276,M.Haddix,PHI,21,-0.30%,57,,248,0,,1988,185
277,T.Stradford,MIA,20,-3.60%,95,,382,2,,1988,337
278,K.Goode,TB,15,-2.10%,63,,218,0,,1988,231
279,T.Paige,DET,14,-2.50%,52,,217,0,,1988,208
280,L.White,HOIL,14,2.50%,32,,128,0,,1988,115
281,D.Harris,MIN,11,-0.80%,34,,133,1,,1988,151
282,J.Smith,TB,10,5.10%,20,,79,0,,1988,87
283,C.Adams,SD,10,-3.30%,38,,174,1,,1988,150
284,S.Sewell,DEN,7,-2.90%,32,,123,1,,1988,135
285,W.Bennett,MIA,7,-4.20%,31,,144,0,,1988,115
286,C.Byrum,BUF,6,-3.60%,28,,118,0,,1988,90
287,K.Davis,GB,5,-5.70%,39,,151,1,,1988,121
288,L.Moriarty,KC,5,-4.30%,20,,104,0,,1988,62
289,To.Jordan,PHX,1,-8.30%,61,,259,3,,1988,160
290,R.Delpino,LARM,0,-8.50%,34,,128,0,,1988,147
291,H.Fontenot,CLE1,0,-8.90%,28,,99,0,,1988,87
292,T.Manoa,CLE1,-11,-11.00%,99,,366,2,,1988,389
293,B.McGee,LARM,-11,-18.40%,22,,82,0,,1988,69
294,W.Williams,PIT,-16,-13.10%,87,,277,0,,1988,409
295,G.Lang,ATL,-16,-16.10%,53,,156,0,,1988,191
296,J.Jones,DET,-18,-13.40%,96,,285,0,,1988,314
297,R.Harmon,BUF,-18,-16.40%,57,,165,1,,1988,212
298,G.Green,LARM,-20,-23.00%,35,,88,0,,1988,116
299,G.Adams,NYG,-21,-25.60%,29,,72,0,,1988,76
300,M.Suhey,CHI,-22,-13.90%,87,,316,2,,1988,253
301,J.Mueller,BUF,-26,-16.30%,81,,248,0,,1988,296
302,R.Dupard,NE,-33,-23.00%,52,,145,2,,1988,151
303,L.James,SD,-35,-55.10%,23,,8,0,,1988,105
304,J.Primus,ATL,-36,-34.10%,35,,63,1,,1988,95
305,C.White,LARM,-36,-18.40%,88,,259,0,,1988,323
306,G.Wonsley,IND,-41,-42.20%,26,,39,1,,1988,48
307,F.Pollard,PIT,-43,-39.90%,31,,49,0,,1988,93
308,T.Sanders,CHI,-56,-22.10%,96,,266,3,,1988,332
309,D.Stone,PIT,-57,-44.90%,40,,43,0,,1988,127
310,P.O.Carruth,GB,-99,-58.90%,49,,9,0,,1988,114
311,K.Woodside,GB,-101,-35.60%,83,,158,3,,1988,195
312,N.Anderson,CHI,254,13.00%,274,,"1,421",11,49%,1989,"1,280"
313,J.Brooks,CIN,250,18.30%,222,,"1,202",7,58%,1989,"1,241"
314,B.Sanders,DET,239,12.10%,280,,"1,377",14,50%,1989,"1,470"
315,E.Byner,WAS,191,24.80%,133,,800,7,61%,1989,580
316,C.Okoye,KC,182,2.80%,370,,"1,668",12,53%,1989,"1,480"
317,B.Jackson,LARD,175,17.10%,173,,873,4,43%,1989,950
318,B.Humphrey,DEN,164,4.10%,294,,"1,379",7,50%,1989,"1,151"
319,G.Bell,LARM,150,4.10%,272,,"1,258",15,49%,1989,"1,141"
320,D.Hilliard,NO,122,-0.20%,344,,"1,453",13,48%,1989,"1,262"
321,B.Fullwood,GB,120,3.30%,205,,"1,064",5,55%,1989,827
322,M.Butts,SD,108,5.80%,170,,823,9,44%,1989,683
323,L.Kinnebrew,BUF,107,8.40%,131,,714,6,61%,1989,533
324,E.Ferrell,PHX,104,6.50%,149,,761,6,48%,1989,509
325,E.Dickerson,IND,99,-1.30%,315,,"1,333",7,51%,1989,"1,313"
326,J.Hector,NYJ,82,2.50%,177,,771,3,50%,1989,703
327,T.Spencer,SD,82,5.70%,134,,624,3,54%,1989,521
328,R.Fenney,MIN,80,3.20%,151,,716,4,57%,1989,588
329,B.Perryman,NE,78,3.00%,150,,707,2,49%,1989,562
330,S.Smith,LARD,71,5.60%,117,,546,1,57%,1989,471
331,R.Craig,SF,69,-2.50%,271,,"1,086",6,48%,1989,"1,054"
332,J.Settle,ATL,62,-0.30%,179,,747,3,43%,1989,689
333,G.Riggs,WAS,62,-1.70%,202,,875,4,50%,1989,843
334,M.Hoge,PIT,59,-1.80%,185,,843,8,49%,1989,617
335,K.Byars,PHI,58,1.30%,133,,595,5,44%,1989,452
336,L.Tate,TB,56,-1.30%,167,,750,8,47%,1989,589
337,O.Anderson,NYG,54,-4.70%,325,,"1,306",14,42%,1989,"1,023"
338,T.Thomas,BUF,53,-4.30%,298,,"1,138",6,49%,1989,"1,244"
339,S.Winder,DEN,33,-1.60%,110,,460,2,55%,1989,351
340,H.Walker,2TM,23,-6.40%,250,,931,7,42%,1989,921
341,A.Highsmith,HOIL,22,-4.70%,128,,525,4,49%,1989,532
342,J.Stephens,NE,19,-6.80%,244,,946,7,47%,1989,833
343,W.Howard,TB,18,-4.80%,108,,430,1,54%,1989,357
344,R.Vick,NYJ,6,-7.30%,112,,429,5,46%,1989,434
345,E.Metcalf,CLE1,4,-8.00%,186,,644,6,39%,1989,641
346,J.L.Williams,SEA,-7,-9.70%,146,,547,1,43%,1989,499
347,L.White,HOIL,-17,-12.10%,104,,391,5,49%,1989,349
348,P.Palmer,DAL,-47,-18.60%,112,,327,2,38%,1989,446
349,A.Toney,PHI,-47,-15.00%,172,,554,4,39%,1989,582
350,S.Smith,MIA,-56,-14.80%,200,,680,6,46%,1989,659
351,J.Morris,WAS,-79,-22.90%,126,,348,2,45%,1989,338
352,T.Worley,PIT,-88,-19.50%,196,,551,5,46%,1989,774
353,C.Warner,SEA,-98,-19.80%,194,,596,3,45%,1989,631
354,K.L.Jones,ATL,107,36.10%,52,,379,6,,1989,202
355,B.Muster,CHI,100,16.80%,82,,499,5,,1989,327
356,F.McNeil,NYJ,87,18.00%,81,,424,2,,1989,348
357,B.Jordan,NO,74,30.90%,38,,281,3,,1989,179
358,M.Allen,LARD,69,14.10%,69,,376,2,,1989,298
359,K.Woodside,GB,58,21.50%,46,,258,1,,1989,273
360,J.Saxon,KC,55,12.20%,58,,315,3,,1989,233
361,A.Anderson,MIN,54,15.10%,52,,283,2,,1989,189
362,R.Delpino,LARM,45,5.40%,78,,350,1,,1989,368
363,T.Rathman,SF,43,2.40%,79,,411,1,,1989,305
364,T.Manoa,CLE1,43,1.80%,87,,428,3,,1989,289
365,D.Nelson,2TM,41,7.90%,67,,281,0,,1989,322
366,W.Williams,PIT,39,16.30%,37,,201,1,,1989,131
367,B.McGee,LARM,38,26.20%,21,,154,1,,1989,99
368,S.Stamps,TB,32,23.40%,29,,138,1,,1989,141
369,C.Taylor,CIN,30,10.40%,30,,187,3,,1989,106
370,A.Pinkett,HOIL,30,-0.70%,95,,372,1,,1989,422
371,J.Clark,2TM,29,24.90%,20,,121,0,,1989,99
372,B.Redden,CLE1,28,9.70%,40,,180,1,,1989,180
373,E.Ball,CIN,27,-2.50%,98,,419,3,,1989,387
374,G.Lang,ATL,25,3.90%,47,,211,1,,1989,176
375,T.McNair,KC,23,23.20%,23,,102,0,,1989,121
376,S.Mitchell,PHX,23,5.40%,43,,180,0,,1989,165
377,J.Alexander,DEN,21,1.30%,45,,220,2,,1989,146
378,M.Bratton,DEN,19,5.60%,30,,148,1,,1989,108
379,J.Wilder,TB,18,-2.40%,70,,282,0,,1989,244
380,P.Frazier,NO,18,7.80%,25,,122,1,,1989,112
381,C.Gary,LARM,17,2.80%,37,,152,1,,1989,163
382,K.Mack,CLE1,15,0.50%,37,,166,1,,1989,130
383,V.Mueller,LARD,14,-2.00%,48,,212,2,,1989,161
384,A.Bentley,IND,14,-4.50%,75,,314,1,,1989,299
385,H.Sherman,PHI,14,-1.10%,40,,180,2,,1989,177
386,D.J.Dozier,MIN,14,-1.00%,46,,176,0,,1989,207
387,S.Jennings,CIN,13,-4.90%,83,,333,2,,1989,293
388,T.Sanders,CHI,12,-1.90%,42,,170,0,,1989,130
389,R.Drummond,PHI,10,-0.60%,32,,126,0,,1989,127
390,I.Woods,CIN,8,-2.60%,29,,131,2,,1989,94
391,K.Davis,BUF,6,-3.00%,29,,101,1,,1989,149
392,V.Sikahema,PHX,5,-5.00%,38,,138,0,,1989,144
393,B.Sargent,DAL,5,-3.50%,20,,94,1,,1989,87
394,M.Haddix,GB,4,-6.40%,44,,183,0,,1989,143
395,M.Logan,MIA,4,-6.90%,57,,209,0,,1989,201
396,Le.Tillman,NYG,2,-7.90%,79,,286,0,,1989,290
397,M.Carthon,NYG,0,-8.70%,57,,222,0,,1989,153
398,D.Meggett,NYG,-4,-11.70%,28,,95,0,,1989,117
399,M.Suhey,CHI,-6,-13.90%,20,,83,1,,1989,51
