,Player,Team,DYAR,DVOA,QBR,Passes,EYds,TD,INT,C%,Year
869,J.Harbaugh,SD,-22,-11.9%,,474,"2,367",10,12,57.9%,1999
870,B.Hobert,NO,-35,-14.5%,,170,808,6,5,53.5%,1999
871,R.Mirer,NYJ,-74,-17.2%,,198,885,5,8,54.3%,1999
872,B.J.Tolliver,NO,-119,-18.0%,,290,"1,229",7,15,52.3%,1999
873,T.Banks,BAL,-158,-18.0%,,353,"1,629",17,8,52.8%,1999
874,S.Case,BAL,-169,-25.9%,,186,677,3,8,45.6%,1999
875,S.Stenstrom,SF,-213,-43.1%,,111,248,0,4,54.0%,1999
876,D.Pederson,PHI,-250,-27.2%,,245,915,7,9,52.9%,1999
877,E.Kramer,SD,-276,-42.7%,,148,330,2,10,55.3%,1999
878,D.Brown,ARI,-315,-37.9%,,186,523,2,6,50.0%,1999
879,Ak.Smith,CIN,-385,-47.3%,,173,336,2,6,52.6%,1999
880,K.Stewart,PIT,-390,-31.4%,,297,"1,029",6,10,58.4%,1999
881,J.Plummer,ARI,-402,-26.5%,,407,"1,562",9,22,53.0%,1999
882,T.Couch,CLE,-478,-28.4%,,457,"1,596",15,13,56.1%,1999
883,D.McNabb,PHI,-629,-51.6%,,246,396,8,7,49.3%,1999
884,R.Johnson,BUF,189,62.2%,,35,464,2,0,73.5%,1999
885,C.Miller,DEN,141,15.4%,,89,619,2,1,56.8%,1999
886,D.Kanell,ATL,76,3.4%,,87,523,4,4,51.9%,1999
887,T.Detmer,CLE,76,1.6%,,95,582,4,2,51.6%,1999
888,G.Foley,SEA,71,21.2%,,37,272,2,0,60.0%,1999
889,T.Tupa,NYJ,30,30.6%,,14,97,2,0,54.5%,1999
890,P.Justin,STL,19,11.1%,,15,93,0,0,64.3%,1999
891,V.Testaverde,NYJ,15,4.5%,,15,95,1,1,66.7%,1999
892,R.Peete,WAS,8,-4.3%,,19,106,2,1,47.1%,1999
893,M.Hasselbeck,GB,-1,-13.5%,,11,46,1,0,30.0%,1999
894,E.Zeier,TB,-31,-18.8%,,60,284,0,1,58.2%,1999
895,J.Garrett,DAL,-40,-20.3%,,68,294,3,1,50.8%,1999
896,K.Detmer,PHI,-40,-34.7%,,29,83,3,2,35.7%,1999
897,B.Brister,DEN,-53,-46.4%,,20,49,0,3,60.0%,1999
898,J.Germaine,STL,-59,-55.5%,,19,27,1,2,56.3%,1999
899,S.Walsh,IND,-88,-119.2%,,13,-54,0,2,53.8%,1999
900,J.Delhomme,NO,-160,-42.0%,,82,200,3,5,55.3%,1999
901,D.Wuerffel,NO,-160,-58.5%,,53,55,0,3,45.8%,1999
902,S.Young,SF,-166,-37.6%,,93,279,3,4,53.6%,1999
903,S.Mitchell,BAL,-173,-57.5%,,62,65,1,4,42.9%,1999
904,P.Manning,IND,"1,888",38.3%,,587,"5,642",33,15,63.3%,2000
905,J.Garcia,SF,"1,642",31.8%,,584,"5,316",31,10,64.1%,2000
906,D.Culpepper,MIN,"1,352",30.1%,,512,"4,482",33,16,62.8%,2000
907,E.Grbac,KC,"1,193",20.9%,,577,"4,619",28,14,59.9%,2000
908,B.Griese,DEN,"1,062",34.7%,,355,"3,313",19,4,64.5%,2000
909,R.Gannon,OAK,"1,052",21.4%,,502,"4,025",28,11,60.2%,2000
910,K.Warner,STL,923,28.0%,,369,"3,156",21,18,67.7%,2000
911,K.Collins,NYG,838,13.2%,,557,"3,915",22,13,59.5%,2000
912,B.Favre,GB,742,7.6%,,616,"4,207",20,16,58.4%,2000
913,M.Brunell,JAC,690,8.0%,,568,"3,827",20,13,61.0%,2000
914,T.Green,STL,632,28.6%,,263,"2,130",16,5,60.9%,2000
915,D.Bledsoe,NE,568,3.9%,,579,"3,805",17,12,59.1%,2000
916,V.Testaverde,NYJ,533,2.3%,,602,"3,914",21,25,56.0%,2000
917,S.McNair,TEN,469,5.8%,,424,"2,865",15,12,63.2%,2000
918,D.McNabb,PHI,389,-1.4%,,613,"3,758",20,13,58.1%,2000
919,D.Flutie,BUF,356,12.4%,,243,"1,703",8,3,57.4%,2000
920,R.Johnson,BUF,341,4.4%,,353,"2,215",12,7,57.8%,2000
921,B.Johnson,WAS,339,3.2%,,384,"2,377",11,14,62.9%,2000
922,S.King,TB,338,0.4%,,464,"2,831",18,13,54.7%,2000
923,J.Fiedler,MIA,331,2.5%,,381,"2,416",14,14,57.2%,2000
924,J.Blake,NO,280,1.8%,,329,"2,119",13,9,61.1%,2000
925,G.Frerotte,DEN,268,5.1%,,245,"1,693",9,8,59.9%,2000
926,J.George,WAS,240,7.5%,,205,"1,353",7,5,59.2%,2000
927,S.Beuerlein,CAR,238,-5.1%,,593,"3,483",19,17,61.1%,2000
928,A.Brooks,NO,220,5.6%,,211,"1,354",9,6,58.2%,2000
929,J.Harbaugh,SD,200,3.1%,,218,"1,411",8,9,61.2%,2000
930,S.Matthews,CHI,94,-3.2%,,184,"1,083",3,6,57.6%,2000
931,R.Cunningham,DAL,69,-2.4%,,133,734,6,4,59.7%,2000
932,K.Stewart,PIT,67,-7.8%,,321,"1,741",11,8,52.6%,2000
933,K.Graham,PIT,-28,-13.9%,,162,773,1,1,45.6%,2000
934,J.Plummer,ARI,-34,-12.2%,,496,"2,598",13,19,57.2%,2000
935,T.Couch,CLE,-54,-15.1%,,226,"1,028",7,9,64.6%,2000
936,J.Kitna,SEA,-77,-13.7%,,459,"2,269",18,16,62.7%,2000
937,D.Kanell,ATL,-78,-21.8%,,124,484,2,5,49.6%,2000
938,T.Banks,BAL,-83,-15.6%,,292,"1,387",8,7,55.4%,2000
939,B.Huard,SEA,-88,-25.1%,,102,387,3,2,55.1%,2000
940,T.Aikman,DAL,-96,-16.5%,,274,"1,306",7,13,59.8%,2000
941,C.Batch,DET,-101,-14.8%,,450,"2,065",13,15,54.3%,2000
942,T.Dilfer,BAL,-187,-22.8%,,250,"1,042",12,11,59.1%,2000
943,C.Chandler,ATL,-196,-19.7%,,375,"1,577",10,12,58.2%,2000
944,S.Case,DET,-210,-43.5%,,103,236,1,4,61.5%,2000
945,C.McNown,CHI,-269,-25.1%,,310,"1,190",8,9,55.2%,2000
946,S.Mitchell,CIN,-294,-35.4%,,204,575,3,8,47.8%,2000
947,D.Pederson,CLE,-314,-32.4%,,227,764,2,8,55.7%,2000
948,R.Leaf,SD,-539,-35.5%,,358,"1,049",11,18,50.0%,2000
949,Ak.Smith,CIN,-700,-51.4%,,303,438,3,6,44.7%,2000
950,J.Martin,JAC,183,81.9%,,33,408,2,1,66.7%,2000
951,N.O'Donnell,TEN,96,10.7%,,67,486,2,3,56.3%,2000
952,J.Miller,CHI,46,-2.7%,,82,499,1,1,58.8%,2000
953,M.Hasselbeck,GB,34,14.2%,,20,154,1,0,52.6%,2000
954,M.Bishop,NE,21,23.8%,,10,78,1,1,33.3%,2000
955,R.Mirer,SF,20,2.8%,,22,146,1,0,50.0%,2000
956,C.Greisen,ARI,-34,-49.3%,,13,25,1,0,60.0%,2000
957,W.Moon,KC,-54,-34.6%,,40,113,1,1,44.1%,2000
958,D.Huard,MIA,-59,-24.7%,,67,269,1,3,61.9%,2000
959,J.Friesz,NE,-77,-64.9%,,24,4,0,1,52.4%,2000
960,B.Brister,MIN,-109,-94.0%,,21,-42,0,1,50.0%,2000
961,D.Brown,ARI,-152,-42.7%,,80,182,2,3,58.0%,2000
962,Jeff Lewis,CAR,-155,-72.9%,,39,-9,0,1,50.0%,2000
963,D.Johnson,ATL,-172,-49.0%,,80,135,2,3,53.7%,2000
964,M.Moreno,SD,-180,-59.6%,,62,54,0,2,50.9%,2000
965,R.Lucas,NYJ,-224,-85.0%,,48,-67,0,4,52.4%,2000
966,A.Wright,DAL,-300,-89.1%,,66,-98,0,3,41.5%,2000
967,S.Wynn,CLE,-396,-113.8%,,67,-228,0,1,40.7%,2000
968,K.Warner,STL,"1,805",36.7%,,583,"5,492",36,22,69.3%,2001
969,R.Gannon,OAK,"1,181",19.8%,,573,"4,681",27,8,66.7%,2001
970,S.McNair,TEN,"1,119",26.1%,,470,"3,942",21,12,61.6%,2001
971,J.Garcia,SF,"1,057",17.5%,,533,"4,404",32,12,62.9%,2001
972,B.Favre,GB,966,15.9%,,540,"4,195",32,15,61.7%,2001
973,P.Manning,IND,965,14.7%,,573,"4,309",26,23,63.5%,2001
974,J.Plummer,ARI,705,9.5%,,556,"3,712",18,13,58.2%,2001
975,J.Fiedler,MIA,624,9.9%,,475,"3,249",20,18,60.9%,2001
976,K.Stewart,PIT,557,8.1%,,473,"3,094",14,11,60.8%,2001
977,A.Van Pelt,BUF,537,15.2%,,315,"2,369",12,10,59.0%,2001
978,D.Flutie,SD,517,3.9%,,547,"3,465",15,17,57.0%,2001
979,B.Johnson,TB,500,1.9%,,602,"3,769",13,11,61.3%,2001
980,T.Brady,NE,491,5.4%,,456,"3,059",18,11,64.1%,2001
981,M.Brunell,JAC,400,0.8%,,529,"3,250",19,12,61.6%,2001
982,D.Culpepper,MIN,400,4.2%,,404,"2,634",14,13,64.7%,2001
983,K.Collins,NYG,342,-2.4%,,613,"3,634",19,16,57.7%,2001
984,C.Chandler,ATL,304,1.0%,,408,"2,435",16,12,61.6%,2001
985,D.McNabb,PHI,251,-3.7%,,529,"3,064",25,11,58.1%,2001
986,A.Brooks,NO,229,-5.1%,,608,"3,388",26,20,56.6%,2001
987,B.Griese,DEN,216,-4.2%,,489,"2,819",23,18,61.4%,2001
988,T.Green,KC,212,-5.3%,,562,"3,228",17,23,57.1%,2001
989,J.Miller,CHI,200,-3.6%,,409,"2,395",13,10,58.1%,2001
990,C.Batch,DET,183,-3.6%,,371,"2,205",12,11,59.1%,2001
991,T.Dilfer,SEA,181,9.9%,,133,938,7,4,59.8%,2001
992,V.Testaverde,NYJ,96,-8.0%,,463,"2,606",15,14,59.4%,2001
993,R.Cunningham,BAL,95,4.1%,,103,630,3,2,62.1%,2001
994,E.Grbac,BAL,79,-8.7%,,488,"2,748",15,18,58.0%,2001
995,S.Matthews,CHI,65,-3.8%,,135,802,5,6,65.6%,2001
996,Q.Carter,DAL,-5,-11.6%,,187,904,5,6,52.0%,2001
997,J.Kitna,CIN,-10,-11.4%,,605,"3,012",12,21,54.2%,2001
998,T.Detmer,DET,-14,-12.5%,,162,808,3,9,61.7%,2001
999,T.Banks,WAS,-42,-12.8%,,402,"1,970",10,9,54.2%,2001
1000,M.McMahon,DET,-74,-19.9%,,135,571,3,1,45.6%,2001
1001,A.Wright,DAL,-87,-24.7%,,104,399,5,5,50.0%,2001
1002,M.Hasselbeck,SEA,-154,-17.8%,,360,"1,646",7,8,55.2%,2001
1003,M.Vick,ATL,-171,-31.3%,,136,454,2,3,44.2%,2001
1004,R.Leaf,DAL,-188,-43.2%,,101,217,1,3,51.7%,2001
1005,R.Johnson,BUF,-208,-24.9%,,243,926,5,7,63.3%,2001
1006,S.Wynn,MIN,-355,-64.9%,,108,49,1,5,50.0%,2001
1007,T.Couch,CLE,-421,-24.7%,,508,"1,936",17,21,60.0%,2001
1008,C.Weinke,CAR,-527,-25.5%,,569,"2,243",11,19,54.7%,2001
1009,T.Bouman,MIN,155,14.6%,,92,695,8,4,58.0%,2001
1010,G.Frerotte,DEN,125,24.0%,,51,456,3,0,62.5%,2001
1011,A.J.Feeley,PHI,102,92.2%,,14,218,2,1,71.4%,2001
1012,D.Brees,SD,69,30.0%,,28,229,1,0,57.7%,2001
1013,B.Huard,SEA,55,31.2%,,18,178,1,0,52.9%,2001
1014,K.Graham,WAS,48,21.1%,,23,187,2,0,68.4%,2001
1015,K.Holcomb,CLE,47,40.2%,,12,137,1,0,58.3%,2001
1016,T.Maddox,PIT,46,62.5%,,10,112,1,1,77.8%,2001
1017,T.Brown,BUF,36,7.8%,,32,204,1,1,48.4%,2001
1018,D.Bledsoe,NE,34,-3.9%,,71,417,2,2,61.5%,2001
1019,C.Pennington,NYJ,32,14.5%,,21,143,1,0,50.0%,2001
1020,M.Rypien,IND,28,34.9%,,10,88,0,0,55.6%,2001
1021,S.King,TB,9,-7.3%,,34,192,0,1,70.0%,2001
1022,J.Jackson,DEN,-7,-19.7%,,14,60,0,0,58.3%,2001
1023,D.Craig,CAR,-8,-25.7%,,10,33,0,0,50.0%,2001
1024,N.O'Donnell,TEN,-15,-14.4%,,82,358,2,2,55.3%,2001
1025,J.Quinn,JAC,-31,-18.3%,,68,296,1,1,52.5%,2001
1026,C.Stoerner,DAL,-54,-26.8%,,55,204,3,5,54.2%,2001
1027,K.Detmer,PHI,-57,-72.0%,,15,-2,0,1,35.7%,2001
1028,M.Lytle,CAR,-76,-49.9%,,33,54,1,2,56.7%,2001
1029,J.George,WAS,-143,-60.1%,,48,40,0,3,54.8%,2001
1030,S.Mitchell,CIN,-145,-167.2%,,14,-122,0,3,33.3%,2001
1031,R.Gannon,OAK,"1,470",22.8%,,652,"5,486",26,10,68.2%,2002
1032,C.Pennington,NYJ,"1,412",40.6%,,421,"4,121",22,5,69.6%,2002
1033,T.Green,KC,"1,225",27.1%,,495,"4,254",26,12,61.3%,2002
1034,P.Manning,IND,"1,076",15.8%,,611,"4,674",27,19,66.7%,2002
1035,K.Collins,NYG,999,16.4%,,572,"4,280",19,14,61.6%,2002
1036,M.Hasselbeck,SEA,938,21.8%,,443,"3,572",15,10,64.3%,2002
1037,J.Garcia,SF,936,15.4%,,543,"4,107",21,10,62.7%,2002
1038,S.McNair,TEN,811,13.4%,,514,"3,768",22,15,61.7%,2002
1039,T.Brady,NE,780,8.2%,,630,"4,312",28,14,62.8%,2002
1040,B.Johnson,TB,746,13.4%,,468,"3,464",22,6,62.9%,2002
1041,B.Griese,DEN,726,12.3%,,468,"3,478",15,15,67.1%,2002
1042,M.Bulger,STL,614,34.7%,,222,"1,911",14,6,65.7%,2002
1043,D.Bledsoe,BUF,608,2.7%,,662,"4,356",24,15,61.7%,2002
1044,B.Favre,GB,584,3.8%,,578,"3,945",27,16,62.2%,2002
1045,T.Maddox,PIT,524,9.2%,,403,"2,788",20,15,62.7%,2002
1046,M.Vick,ATL,514,7.4%,,449,"2,935",16,8,56.5%,2002
1047,J.Kitna,CIN,441,2.8%,,495,"3,144",16,16,62.7%,2002
1048,D.Culpepper,MIN,420,-0.5%,,600,"3,747",18,21,61.1%,2002
1049,J.Fiedler,MIA,409,9.5%,,304,"2,148",14,9,61.7%,2002
1050,M.Brunell,JAC,403,3.1%,,441,"2,832",17,7,60.8%,2002
1051,D.Brees,SD,344,-1.3%,,548,"3,279",17,15,61.1%,2002
1052,A.Brooks,NO,333,-1.8%,,569,"3,334",27,15,54.0%,2002
1053,K.Stewart,PIT,314,16.2%,,173,"1,351",6,5,66.5%,2002
1054,D.McNabb,PHI,267,-0.8%,,387,"2,451",17,6,58.9%,2002
1055,J.Miller,CHI,221,-0.8%,,332,"2,027",13,9,57.7%,2002
1056,K.Holcomb,CLE,143,8.5%,,110,780,8,4,61.0%,2002
1057,C.Redman,BAL,106,-2.6%,,193,"1,146",7,3,53.6%,2002
1058,T.Couch,CLE,99,-7.9%,,474,"2,591",18,17,62.2%,2002
1059,A.J.Feeley,PHI,92,-2.0%,,162,938,6,5,56.2%,2002
1060,P.Ramsey,WAS,28,-9.3%,,246,"1,221",9,6,52.0%,2002
1061,S.Beuerlein,DEN,-15,-13.1%,,129,606,6,5,58.6%,2002
1062,Q.Carter,DAL,-17,-12.3%,,240,"1,173",7,8,57.3%,2002
1063,D.Wuerffel,WAS,-40,-17.1%,,102,478,3,6,63.7%,2002
1064,J.Blake,BAL,-40,-13.1%,,327,"1,583",13,10,56.1%,2002
1065,T.Dilfer,SEA,-68,-17.4%,,175,789,4,6,56.3%,2002
1066,R.Lucas,MIA,-77,-17.8%,,174,817,4,6,57.9%,2002
1067,S.Matthews,WAS,-86,-16.6%,,245,"1,146",11,6,52.8%,2002
1068,K.Warner,STL,-95,-17.3%,,240,"1,117",3,11,66.1%,2002
1069,R.Johnson,TB,-105,-26.4%,,106,409,1,2,65.5%,2002
1070,R.Peete,CAR,-111,-15.3%,,413,"1,998",15,13,58.8%,2002
1071,J.Martin,STL,-112,-19.8%,,203,885,7,10,64.2%,2002
1072,M.McMahon,DET,-204,-32.6%,,157,487,7,9,42.8%,2002
1073,J.Harrington,DET,-279,-20.9%,,436,"1,929",12,15,50.2%,2002
1074,C.Chandler,CHI,-320,-38.1%,,185,523,4,4,64.0%,2002
1075,J.Plummer,ARI,-329,-20.1%,,569,"2,504",18,18,54.2%,2002
1076,C.Hutchinson,DAL,-595,-48.1%,,281,503,7,8,51.4%,2002
1077,D.Carr,HOU,"-1,129",-47.4%,,529,981,9,15,53.3%,2002
1078,D.Johnson,ATL,143,26.3%,,60,503,2,2,66.1%,2002
1079,K.Detmer,PHI,113,50.6%,,29,301,2,0,67.9%,2002
1080,C.Sauter,CHI,56,71.3%,,9,131,0,0,66.7%,2002
1081,D.Pederson,GB,56,20.9%,,28,216,1,0,70.4%,2002
1082,J.Delhomme,NO,51,78.2%,,11,114,0,0,80.0%,2002
1083,A.Randle El,PIT,31,30.7%,,9,101,0,0,87.5%,2002
1084,D.Flutie,SD,10,6.9%,,10,60,0,0,30.0%,2002
1085,T.Rattay,SF,6,-9.1%,,48,266,2,0,60.5%,2002
1086,V.Testaverde,NYJ,-31,-16.1%,,92,459,3,3,65.1%,2002
1087,A.Smith,CIN,-68,-43.6%,,36,75,0,1,37.5%,2002
1088,S.King,TB,-73,-55.5%,,28,33,0,1,37.0%,2002
1089,D.Garrard,JAC,-82,-36.4%,,52,149,1,2,51.1%,2002
1090,C.Weinke,CAR,-155,-70.5%,,45,-1,0,3,44.7%,2002
1091,R.Fasani,CAR,-191,-74.2%,,50,-16,0,3,34.9%,2002
1092,J.McCown,ARI,-230,-181.2%,,23,-205,0,2,38.9%,2002
1093,H.Burris,CHI,-242,-78.4%,,55,-40,3,5,35.3%,2002
1094,G.Frerotte,CIN,-263,-56.2%,,93,130,1,4,53.0%,2002
1095,P.Manning,IND,"1,891",37.1%,,587,"5,731",29,10,67.1%,2003
1096,T.Green,KC,"1,388",28.1%,,545,"4,751",24,12,63.2%,2003
1097,S.McNair,TEN,"1,298",36.3%,,420,"3,971",24,7,63.4%,2003
1098,M.Hasselbeck,SEA,"1,017",17.3%,,555,"4,261",26,15,61.3%,2003
1099,D.Culpepper,MIN,826,14.6%,,488,"3,706",25,10,66.2%,2003
1100,A.Brooks,NO,824,12.0%,,552,"3,986",24,8,59.8%,2003
1101,J.Kitna,CIN,810,11.4%,,558,"4,000",26,14,62.9%,2003
1102,J.Plummer,DEN,736,25.8%,,313,"2,606",15,7,63.4%,2003
1103,T.Brady,NE,698,8.7%,,562,"3,787",23,12,60.5%,2003
1104,B.Favre,GB,654,9.4%,,491,"3,458",32,21,65.4%,2003
1105,B.Johnson,TB,640,5.9%,,587,"3,902",26,20,62.4%,2003
1106,D.McNabb,PHI,557,5.4%,,520,"3,482",16,11,58.3%,2003
1107,B.Leftwich,JAC,470,5.5%,,438,"2,915",14,16,57.3%,2003
1108,T.Maddox,PIT,450,1.5%,,559,"3,476",18,17,57.8%,2003
1109,J.Garcia,SF,450,5.7%,,411,"2,769",18,12,58.1%,2003
1110,M.Bulger,STL,445,1.3%,,569,"3,493",22,22,63.3%,2003
1111,V.Testaverde,NYJ,435,22.3%,,204,"1,638",7,2,62.4%,2003
1112,J.Delhomme,CAR,327,-0.5%,,479,"2,905",19,16,59.2%,2003
1113,J.Fiedler,MIA,325,4.1%,,333,"2,156",11,12,57.2%,2003
1114,T.Rattay,SF,315,30.6%,,125,"1,038",7,2,61.9%,2003
1115,K.Collins,NYG,304,-2.1%,,527,"3,128",13,15,57.3%,2003
1116,C.Pennington,NYJ,302,3.1%,,322,"2,111",13,12,64.3%,2003
1117,T.Banks,HOU,216,20.1%,,114,850,5,2,61.0%,2003
1118,Q.Carter,DAL,158,-6.5%,,543,"2,941",17,20,58.0%,2003
1119,K.Holcomb,CLE,154,-3.7%,,323,"1,876",10,12,64.5%,2003
1120,D.Flutie,SD,140,1.5%,,176,"1,082",9,4,55.5%,2003
1121,P.Ramsey,WAS,96,-7.0%,,370,"1,983",14,9,53.3%,2003
1122,D.Carr,HOU,83,-7.0%,,309,"1,716",9,13,57.2%,2003
1123,D.Johnson,ATL,64,-7.2%,,261,"1,416",8,11,56.6%,2003
1124,R.Gannon,OAK,53,-7.6%,,240,"1,262",6,4,56.1%,2003
1125,D.Kanell,DEN,-5,-11.8%,,106,557,2,4,51.5%,2003
1126,T.Hasselbeck,WAS,-33,-13.8%,,187,936,5,7,53.7%,2003
1127,J.Blake,ARI,-38,-12.7%,,384,"1,893",13,15,57.6%,2003
1128,T.Couch,CLE,-43,-14.1%,,223,"1,137",7,6,59.6%,2003
1129,M.Vick,ATL,-44,-17.2%,,109,517,4,3,50.5%,2003
1130,A.Wright,BAL,-61,-16.1%,,199,891,9,8,53.4%,2003
1131,R.Mirer,OAK,-85,-16.9%,,241,"1,073",3,5,53.0%,2003
1132,D.Bledsoe,BUF,-135,-15.3%,,522,"2,437",11,11,58.3%,2003
1133,B.Griese,MIA,-154,-28.0%,,142,527,5,6,57.4%,2003
1134,D.Brees,SD,-197,-19.8%,,374,"1,571",11,15,58.2%,2003
1135,K.Boller,BAL,-220,-26.0%,,241,896,7,9,53.2%,2003
1136,C.Chandler,CHI,-224,-28.7%,,207,743,3,7,56.0%,2003
1137,J.Harrington,DET,-250,-18.2%,,561,"2,524",17,21,56.3%,2003
1138,J.Palmer,NYG,-273,-45.6%,,131,267,3,4,52.2%,2003
1139,K.Kittner,ATL,-302,-52.7%,,118,175,2,6,38.9%,2003
1140,J.McCown,ARI,-355,-39.5%,,193,514,5,5,57.6%,2003
1141,K.Stewart,CHI,-489,-41.0%,,273,658,7,11,51.4%,2003
1142,B.Volek,TEN,253,39.8%,,74,744,4,1,64.7%,2003
1143,G.Frerotte,MIN,216,36.7%,,71,658,7,2,58.5%,2003
1144,N.O'Donnell,TEN,195,87.7%,,27,425,2,1,66.7%,2003
1145,M.Brunell,JAC,89,3.9%,,92,594,2,0,65.9%,2003
1146,D.Garrard,JAC,73,67.6%,,12,174,1,0,75.0%,2003
1147,T.Brown,BUF,35,13.3%,,19,164,0,1,77.8%,2003
1148,T.Collins,KC,16,10.3%,,12,83,0,0,75.0%,2003
1149,T.Bouman,NO,-2,-13.1%,,15,73,1,0,53.8%,2003
1150,M.Tuiasosopo,OAK,-6,-13.1%,,46,218,0,3,58.1%,2003
1151,R.Grossman,CHI,-31,-17.1%,,79,375,2,1,53.4%,2003
1152,S.King,TB,-38,-33.1%,,25,88,1,1,68.2%,2003
1153,T.Martin,OAK,-64,-78.4%,,17,-8,0,1,37.5%,2003
1154,T.Dilfer,SEA,-73,-121.5%,,10,-46,1,1,50.0%,2003
1155,R.Johnson,2TM,-79,-63.9%,,24,13,0,1,55.0%,2003
1156,R.Peete,CAR,-83,-128.3%,,13,-54,0,0,40.0%,2003
1157,A.Van Pelt,BUF,-139,-201.2%,,13,-131,0,3,41.7%,2003
1158,M.McMahon,DET,-145,-83.8%,,33,-37,0,2,29.0%,2003
1159,C.Redman,BAL,-173,-146.2%,,20,-132,0,2,53.8%,2003
1160,S.Beuerlein,DEN,-176,-51.3%,,70,113,2,5,54.1%,2003
1161,D.Ragone,HOU,-218,-87.0%,,49,-65,0,1,51.3%,2003
1162,K.Warner,STL,-231,-64.7%,,72,33,1,1,58.5%,2003
1163,P.Manning,IND,"2,434",58.9%,,510,"6,109",49,10,67.9%,2004
1164,D.Culpepper,MIN,"1,877",35.1%,,595,"5,795",39,11,69.4%,2004
1165,T.Green,KC,"1,417",26.4%,,587,"4,969",27,16,66.7%,2004
1166,T.Brady,NE,"1,345",31.6%,,499,"4,350",28,13,61.0%,2004
1167,B.Favre,GB,"1,284",24.5%,,549,"4,656",30,17,64.7%,2004
1168,D.McNabb,PHI,"1,274",27.5%,,501,"4,392",31,8,64.1%,2004
1169,D.Brees,SD,"1,135",31.4%,,420,"3,696",27,7,65.7%,2004
1170,J.Plummer,DEN,962,16.6%,,537,"4,119",27,20,58.7%,2004
1171,M.Bulger,STL,961,18.3%,,523,"3,950",21,14,66.6%,2004
1172,C.Pennington,NYJ,918,24.4%,,390,"3,339",16,9,65.7%,2004
1173,B.Roethlisberger,PIT,908,31.7%,,326,"2,942",17,10,67.2%,2004
1174,B.Griese,TB,706,18.9%,,361,"2,855",20,11,70.2%,2004
1175,J.Delhomme,CAR,572,4.6%,,569,"3,709",29,15,58.3%,2004
1176,M.Hasselbeck,SEA,494,3.5%,,502,"3,395",22,15,59.4%,2004
1177,B.Leftwich,JAC,479,5.1%,,466,"3,019",15,10,60.5%,2004
1178,V.Testaverde,DAL,441,2.0%,,528,"3,297",17,20,60.9%,2004
1179,C.Palmer,CIN,393,2.6%,,453,"2,845",18,18,62.5%,2004
1180,D.Carr,HOU,257,-3.2%,,519,"2,954",16,14,62.2%,2004
1181,K.Collins,OAK,216,-4.9%,,541,"3,096",21,20,56.4%,2004
1182,D.Bledsoe,BUF,120,-7.2%,,481,"2,612",20,15,58.3%,2004
1183,B.Volek,TEN,94,-7.5%,,383,"2,202",18,10,61.9%,2004
1184,J.Harrington,DET,40,-9.9%,,521,"2,750",19,12,56.6%,2004
1185,S.McNair,TEN,22,-9.8%,,229,"1,319",8,9,60.6%,2004
1186,A.Brooks,NO,-2,-11.2%,,590,"2,963",21,15,57.3%,2004
1187,J.Kitna,CIN,-9,-12.5%,,111,544,5,4,58.7%,2004
1188,K.Warner,NYG,-20,-12.1%,,318,"1,596",6,4,63.0%,2004
1189,J.Garcia,CLE,-26,-12.8%,,278,"1,271",10,8,57.8%,2004
1190,B.Johnson,TB,-60,-19.4%,,111,499,3,3,63.1%,2004
1191,K.Boller,BAL,-108,-14.6%,,492,"2,362",13,10,56.7%,2004
1192,T.Rattay,SF,-161,-18.2%,,362,"1,602",10,10,61.1%,2004
1193,J.McCown,ARI,-187,-17.8%,,442,"2,027",11,9,57.6%,2004
1194,E.Manning,NYG,-191,-25.4%,,208,818,6,9,49.2%,2004
1195,P.Ramsey,WAS,-196,-21.8%,,294,"1,219",10,10,62.4%,2004
1196,K.Dorsey,SF,-230,-26.4%,,240,897,6,9,54.7%,2004
1197,L.McCown,CLE,-254,-50.5%,,112,172,4,7,49.0%,2004
1198,M.Brunell,WAS,-281,-28.6%,,255,917,7,6,50.0%,2004
1199,J.Quinn,CHI,-298,-54.9%,,113,143,1,3,52.0%,2004
1200,C.Hutchinson,CHI,-368,-44.6%,,187,399,4,3,57.1%,2004
1201,A.J.Feeley,MIA,-424,-29.1%,,381,"1,324",11,15,54.4%,2004
1202,J.Fiedler,MIA,-499,-48.2%,,215,393,7,8,53.2%,2004
1203,M.Vick,ATL,-510,-32.7%,,366,"1,211",14,11,56.9%,2004
1204,C.Krenzel,CHI,-676,-85.4%,,151,-174,3,6,46.8%,2004
1205,C.Nall,GB,248,91.4%,,35,530,4,0,69.7%,2004
1206,K.Holcomb,CLE,131,11.0%,,92,654,7,5,68.6%,2004
1207,Q.Carter,NYJ,120,15.1%,,70,530,3,1,60.3%,2004
1208,R.Gannon,OAK,115,14.8%,,72,501,3,2,62.1%,2004
1209,D.Flutie,SD,112,42.9%,,38,319,1,0,54.1%,2004
1210,J.Martin,STL,49,14.5%,,32,220,0,0,53.3%,2004
1211,J.Sorgi,IND,43,9.5%,,31,226,2,0,58.6%,2004
1212,R.Davey,NE,19,24.2%,,10,70,0,0,40.0%,2004
1213,D.Johnson,TEN,4,-6.3%,,13,77,0,0,50.0%,2004
1214,M.McMahon,DET,0,-11.1%,,16,87,0,0,73.3%,2004
1215,B.Bollinger,NYJ,-1,-13.3%,,10,46,0,0,55.6%,2004
