,Player,Team,DYAR,DVOA,Targets,Yards,EfYds,TD,Catch_rate,Year,Yds
66,R.Hall,TB,43,20.10%,22,,224,1,73%,1987,169
67,O.Mobley,DEN,40,21.10%,23,,205,1,70%,1987,228
68,P.Holohan,SD,39,11.40%,30,,264,0,67%,1987,239
69,J.Hayes,KC,39,9.70%,33,,276,2,64%,1987,272
70,E.Kattus,CIN,38,15.20%,24,,226,2,75%,1987,217
71,H.Brenner,NO,33,6.20%,36,,281,2,56%,1987,280
72,E.Moorehead,CHI,27,4.70%,35,,253,1,69%,1987,269
73,B.Hardy,MIA,20,-1.50%,50,,331,2,56%,1987,292
74,K.Winslow,SD,16,-4.30%,84,,496,3,63%,1987,519
75,R.Rubick,DET,11,0.50%,20,,148,1,65%,1987,147
76,J.Spagnola,PHI,10,-4.10%,49,,301,2,73%,1987,350
77,R.Francis,SF,9,-0.80%,20,,134,0,75%,1987,139
78,J.Giles,2TM,8,-1.90%,21,,135,1,62%,1987,157
79,R.Klever,NYJ,1,-6.70%,20,,109,0,70%,1987,152
80,J.Williams,HOIL,-1,-7.60%,26,,160,3,50%,1987,158
81,E.West,GB,-2,-8.20%,33,,171,1,58%,1987,261
82,D.Cosbie,DAL,-8,-9.20%,62,,339,3,58%,1987,421
83,P.Metzelaars,BUF,-12,-12.30%,37,,175,0,76%,1987,290
84,Dam.Johnson,LARM,-15,-12.60%,43,,208,2,49%,1987,198
85,M.Tice,SEA,-20,-19.10%,22,,96,2,64%,1987,106
86,G.Baty,2TM,-20,-17.20%,31,,127,2,58%,1987,173
87,K.Whisenhunt,ATL,-30,-25.30%,25,,75,1,68%,1987,145
88,L.Dawson,NE,-35,-29.90%,21,,54,0,57%,1987,81
89,A.Cox,ATL,-36,-33.30%,21,,38,0,52%,1987,101
90,C.Kay,DEN,-45,-19.10%,60,,220,0,52%,1987,440
91,C.Didier,WAS,-45,-30.20%,29,,67,1,45%,1987,178
92,M.Shuler,NYJ,-50,-17.20%,75,,314,3,57%,1987,434
93,P.Beach,IND,-60,-28.30%,47,,110,0,60%,1987,239
94,Da.Hill,LARM,20,12.70%,14,,126,0,79%,1987,105
95,R.Heller,SF,18,7.30%,19,,147,2,47%,1987,149
96,R.Bernstine,SD,7,0.90%,13,,85,1,77%,1987,76
97,M.Boyer,IND,-16,-24.80%,14,,41,0,71%,1987,73
98,T.Sherwin,IND,-24,-28.50%,15,,42,1,60%,1987,86
99,D.Lee,PIT,-32,-49.40%,12,,-6,0,50%,1987,37
100,Dan.Johnson,MIA,-44,-50.20%,14,,-10,2,29%,1987,35
101,D.Warren,WAS,-50,-57.90%,15,,-26,0,47%,1987,43
102,M.Shuler,NYJ,184,20.20%,102,,964,5,69%,1988,805
103,S.Jordan,MIN,179,23.80%,87,,876,5,66%,1988,756
104,P.Metzelaars,BUF,146,43.10%,45,,563,1,73%,1988,438
105,P.Holohan,LARM,146,16.90%,84,,827,3,70%,1988,641
106,J.Novacek,PHX,120,21.60%,70,,612,4,54%,1988,569
107,R.Holman,CIN,117,24.30%,53,,567,3,74%,1988,527
108,D.Johnson,LARM,110,21.60%,53,,562,6,79%,1988,350
109,O.Newsome,CLE1,86,24.40%,43,,415,2,81%,1988,343
110,M.Bavaro,NYG,80,7.20%,89,,636,4,60%,1988,672
111,M.Boyer,IND,59,14.40%,38,,360,2,71%,1988,256
112,R.Hall,TB,43,1.90%,72,,486,0,54%,1988,555
113,C.McEwen,WAS,39,8.70%,38,,294,0,61%,1988,323
114,F.Edmunds,MIA,34,0.30%,65,,450,3,51%,1988,575
115,J.Tice,NO,32,4.50%,40,,300,1,65%,1988,297
116,R.Bernstine,SD,29,4.10%,42,,273,0,69%,1988,339
117,C.Kay,DEN,27,0.00%,55,,377,4,62%,1988,352
118,R.Awalt,PHX,22,-2.40%,66,,418,4,59%,1988,454
119,T.Chandler,DAL,9,-2.50%,30,,186,1,60%,1988,186
120,J.Hayes,KC,3,-5.90%,37,,214,1,59%,1988,233
121,T.Christensen,LARD,1,-6.80%,35,,179,0,43%,1988,190
122,O.Mobley,DEN,-5,-9.50%,36,,190,2,58%,1988,218
123,P.Carter,DET,-17,-16.30%,31,,124,0,42%,1988,145
124,R.Heller,SF,-18,-18.10%,25,,99,0,56%,1988,140
125,M.Tice,SEA,-25,-17.50%,37,,151,0,78%,1988,244
126,P.Beach,IND,-28,-18.30%,39,,153,0,67%,1988,235
127,K.Whisenhunt,ATL,-38,-24.80%,31,,99,1,52%,1988,174
128,A.Cox,SD,-53,-34.40%,33,,49,0,55%,1988,144
129,K.Jackson,PHI,-53,-13.30%,134,,629,7,60%,1988,869
130,E.West,GB,-78,-26.50%,59,,172,3,51%,1988,276
131,J.Thornton,CHI,-79,-45.10%,30,,4,0,50%,1988,135
132,A.Roberts,KC,-81,-52.10%,25,,-25,0,40%,1988,104
133,T.Orr,WAS,66,45.20%,16,,250,2,69%,1988,222
134,J.Frank,SF,54,25.10%,23,,259,3,70%,1988,195
135,S.Folsom,DAL,37,30.80%,12,,164,2,75%,1988,84
136,R.Francis,NE,26,16.00%,18,,151,0,61%,1988,161
137,C.Magee,TB,18,16.30%,12,,106,0,75%,1988,103
138,B.Griggs,NYJ,18,7.20%,20,,147,0,70%,1988,133
139,G.Wilkins,ATL,18,8.90%,16,,135,0,69%,1988,134
140,E.Moorehead,CHI,18,5.20%,22,,159,2,64%,1988,133
141,K.D.Dunn,NYJ,17,15.20%,10,,98,0,60%,1988,67
142,B.Jones,SF,13,8.60%,11,,95,2,73%,1988,57
143,J.Giles,PHI,-1,-8.40%,11,,66,1,55%,1988,57
144,Z.Mowatt,NYG,-7,-11.70%,23,,112,1,65%,1988,196
145,T.Fowler,DAL,-9,-17.70%,13,,52,0,77%,1988,64
146,P.Gothard,PIT,-9,-12.90%,23,,113,1,52%,1988,121
147,C.Boso,CHI,-13,-25.30%,10,,33,0,60%,1988,50
148,J.Williams,HOIL,-17,-30.10%,11,,26,0,55%,1988,46
149,M.Lewis,DET,-18,-31.80%,11,,23,1,27%,1988,32
150,J.Riggs,CIN,-22,-35.60%,12,,17,0,75%,1988,82
151,D.Tennell,CLE1,-23,-24.00%,19,,65,1,47%,1988,88
152,D.Cosbie,DAL,-23,-24.90%,21,,60,0,57%,1988,112
153,H.Brenner,NO,-31,-38.10%,13,,17,0,38%,1988,67
154,D.Warren,WAS,-36,-40.40%,17,,13,0,71%,1988,112
155,A.Parker,LARD,-48,-57.30%,15,,-24,0,27%,1988,33
156,R.Holman,CIN,206,30.40%,82,,909,9,61%,1989,736
157,B.Jones,SF,133,29.30%,56,,596,4,71%,1989,500
158,M.Dyal,LARD,120,35.50%,48,,499,2,56%,1989,499
159,K.Jackson,PHI,103,10.10%,90,,726,3,70%,1989,648
160,M.Shuler,NYJ,83,27.60%,37,,381,0,78%,1989,322
161,M.Bavaro,NYG,81,30.30%,31,,358,3,71%,1989,278
162,J.Thornton,CHI,80,25.00%,39,,384,3,62%,1989,392
163,E.Sievers,NE,78,10.60%,67,,537,0,81%,1989,615
164,H.Brenner,NO,76,13.40%,49,,474,4,69%,1989,398
165,M.Mularkey,PIT,66,26.70%,34,,305,1,65%,1989,326
166,E.West,GB,65,21.30%,33,,335,5,67%,1989,269
167,S.Jordan,MIN,45,4.30%,63,,429,3,56%,1989,506
168,A.Cox,SD,44,15.40%,30,,259,2,73%,1989,200
169,C.Boso,CHI,36,13.40%,25,,226,1,68%,1989,182
170,K.Neubert,NYJ,18,0.20%,39,,248,1,72%,1989,302
171,P.Holohan,LARM,9,-5.30%,73,,420,2,70%,1989,510
172,O.Newsome,CLE1,6,-5.30%,48,,275,1,60%,1989,326
173,F.Edmunds,MIA,6,-5.70%,53,,312,3,60%,1989,382
174,J.Giles,PHI,4,-5.10%,31,,179,2,52%,1989,225
175,R.Awalt,PHX,-2,-8.00%,51,,267,0,65%,1989,360
176,C.Kay,DEN,-5,-8.80%,41,,238,2,51%,1989,197
177,R.Tyler,SEA,-6,-11.00%,25,,121,0,56%,1989,148
178,R.Hall,TB,-16,-11.40%,58,,288,2,52%,1989,331
179,Z.Mowatt,NYG,-30,-16.70%,49,,205,0,55%,1989,288
180,S.Folsom,DAL,-43,-19.80%,51,,195,2,55%,1989,265
181,Damone.Johnson,LARM,-71,-29.60%,43,,113,5,58%,1989,148
182,P.Beach,IND,-71,-46.30%,26,,-2,2,54%,1989,87
183,R.Heller,ATL,-75,-28.30%,54,,137,1,61%,1989,324
184,J.Novacek,PHX,-129,-47.70%,53,,-13,1,43%,1989,225
185,T.McNeal,SEA,53,55.50%,12,,187,0,75%,1989,147
186,O.Mobley,DEN,53,30.30%,23,,232,0,74%,1989,200
187,J.Hayes,KC,47,24.00%,24,,228,2,75%,1989,229
188,G.Wilkins,ATL,36,17.20%,20,,200,3,40%,1989,179
189,P.Metzelaars,BUF,29,11.10%,24,,194,2,75%,1989,179
190,D.Warren,WAS,27,10.70%,21,,184,1,71%,1989,167
191,C.Dressel,2TM,24,11.00%,19,,166,1,63%,1989,191
192,J.Tice,NO,20,18.10%,12,,111,1,75%,1989,98
193,J.Caravello,SD,13,7.60%,13,,104,0,77%,1989,95
194,G.Scales,NO,13,10.20%,10,,88,0,80%,1989,89
195,H.Cross,NYG,-1,-7.90%,14,,72,1,43%,1989,107
196,C.McEwen,SD,-7,-16.00%,13,,55,0,54%,1989,99
197,B.Griggs,NYJ,-9,-16.80%,18,,62,0,50%,1989,112
198,L.Dawson,NE,-11,-15.90%,19,,85,0,63%,1989,101
199,W.Harris,TB,-18,-19.40%,22,,83,1,50%,1989,102
200,B.Beckman,ATL,-19,-23.00%,17,,60,1,65%,1989,102
201,M.Boyer,IND,-25,-28.60%,15,,45,2,73%,1989,58
202,E.Kattus,CIN,-27,-27.40%,20,,53,0,60%,1989,93
203,A.Roberts,KC,-27,-35.30%,13,,22,1,62%,1989,55
204,B.Jones,SF,212,33.10%,80,,904,5,70%,1990,747
205,K.Jackson,PHI,191,30.10%,77,,846,6,65%,1990,670
206,M.Bavaro,NYG,149,41.90%,45,,582,5,73%,1990,393
207,R.Hall,TB,127,31.20%,51,,555,2,61%,1990,464
208,R.Holman,CIN,101,15.50%,68,,596,5,59%,1990,596
209,K.McKeller,BUF,80,13.60%,57,,495,5,60%,1990,464
210,F.Edmunds,MIA,79,19.60%,43,,421,1,72%,1990,446
211,E.Green,PIT,67,13.10%,51,,426,7,67%,1990,387
212,M.Mularkey,PIT,66,13.60%,47,,409,3,68%,1990,365
213,M.Cook,NE,57,4.50%,76,,530,5,67%,1990,455
214,J.Novacek,DAL,55,1.50%,100,,646,4,59%,1990,657
215,E.West,GB,49,10.30%,42,,343,5,64%,1990,356
216,S.Jordan,MIN,49,2.10%,80,,543,3,56%,1990,626
217,Ji.Johnson,WAS,33,10.80%,29,,228,2,52%,1990,218
218,D.Walker,SD,32,8.50%,29,,244,1,79%,1990,240
219,C.McEwen,SD,24,0.60%,46,,312,3,63%,1990,325
220,P.Holohan,LARM,23,-3.20%,81,,517,2,60%,1990,475
221,E.Horton,LARD,2,-6.70%,60,,350,3,55%,1990,404
222,C.Kay,DEN,-10,-10.30%,47,,246,0,62%,1990,282
223,D.Warren,WAS,-16,-16.00%,26,,119,1,58%,1990,123
224,O.Newsome,CLE1,-16,-13.10%,44,,200,2,52%,1990,240
225,M.Boyer,NYJ,-35,-16.40%,57,,247,1,70%,1990,334
226,H.Brenner,NO,-60,-31.40%,40,,78,2,43%,1990,213
227,Walt.Wilson,SD,-71,-49.60%,28,,-14,0,36%,1990,87
228,J.Thornton,CHI,-126,-47.40%,48,,-10,1,40%,1990,254
229,G.Wilkins,ATL,68,51.60%,16,,245,2,75%,1990,175
230,E.Kattus,CIN,60,58.20%,14,,206,2,79%,1990,145
231,J.Harris,GB,46,41.40%,15,,181,0,80%,1990,157
232,R.Heller,SEA,38,21.90%,19,,195,1,68%,1990,157
233,C.Boso,CHI,30,23.60%,14,,147,1,79%,1990,135
234,M.Shuler,PHI,26,12.00%,22,,173,0,82%,1990,190
235,P.Beach,IND,19,7.10%,18,,154,1,67%,1990,124
236,D.Johnson,LARM,19,6.50%,18,,155,3,67%,1990,66
237,R.Awalt,DAL,18,10.40%,17,,127,0,76%,1990,133
238,S.Sharpe,DEN,5,-1.10%,13,,80,1,54%,1990,99
239,J.Hayes,KC,-13,-18.90%,16,,67,1,56%,1990,83
240,P.Carter,LARM,-15,-25.50%,13,,36,0,62%,1990,58
241,J.Williams,SF,-15,-24.40%,12,,41,0,75%,1990,54
242,G.Scales,NO,-15,-23.60%,14,,45,1,57%,1990,64
243,H.Cross,NYG,-18,-19.70%,20,,81,0,40%,1990,106
244,Z.Mowatt,NE,-19,-31.40%,11,,25,0,55%,1990,67
245,C.Dressel,NYJ,-20,-34.60%,11,,18,0,55%,1990,66
246,P.Metzelaars,BUF,-20,-25.30%,14,,51,1,71%,1990,60
247,J.Tice,NO,-22,-26.50%,18,,48,0,61%,1990,113
248,W.Reeves,PHX,-24,-23.30%,23,,74,0,78%,1990,126
249,W.Walls,SF,-27,-40.90%,12,,9,0,42%,1990,27
250,T.McNeal,SEA,-31,-30.90%,19,,43,0,53%,1990,143
251,J.Riggs,CIN,-32,-35.90%,16,,24,0,50%,1990,79
252,A.Roberts,KC,-34,-30.00%,21,,52,0,52%,1990,119
253,E.Sievers,NE,-56,-50.80%,20,,-14,0,40%,1990,77
254,Ar.Cox,SD,-64,-64.30%,20,,-45,1,70%,1990,93
255,O.Mobley,DEN,-69,-68.10%,15,,-55,0,53%,1990,41
256,E.Green,PIT,170,32.20%,58,,731,6,71%,1991,582
257,J.Price,LARM,133,41.10%,41,,522,2,85%,1991,410
258,E.Horton,LARD,133,16.30%,87,,763,5,61%,1991,650
259,J.Novacek,DAL,96,8.80%,90,,716,4,66%,1991,664
260,S.Jordan,MIN,87,8.10%,83,,663,2,69%,1991,635
261,R.Holman,CIN,72,13.60%,53,,450,2,58%,1991,445
262,S.Sharpe,DEN,67,25.30%,31,,320,1,71%,1991,322
263,C.McEwen,SD,64,6.50%,68,,532,3,54%,1991,399
264,M.Cook,NE,52,0.20%,110,,704,3,75%,1991,818
265,Da.Johnson,LARM,41,6.90%,43,,336,2,74%,1991,253
266,S.Galbraith,CLE1,37,6.80%,40,,301,0,68%,1991,328
267,J.Williams,SF,31,6.40%,32,,260,1,69%,1991,235
268,K.McKeller,BUF,31,-0.70%,69,,458,3,64%,1991,434
269,G.Baty,MIA,29,6.60%,30,,238,1,67%,1991,269
270,T.McNeal,SEA,24,7.80%,27,,185,1,63%,1991,208
271,K.Jackson,PHI,16,-4.30%,83,,497,5,58%,1991,569
272,A.Roberts,DAL,15,1.60%,25,,178,1,64%,1991,136
273,B.Jones,SF,15,-2.50%,51,,292,0,53%,1991,417
274,E.West,GB,9,-2.10%,27,,170,3,56%,1991,151
275,J.Hayes,KC,6,-4.70%,29,,193,2,66%,1991,208
276,H.Cross,NYG,-9,-10.50%,39,,203,2,51%,1991,283
277,P.Holohan,KC,-9,-12.50%,26,,125,2,50%,1991,113
278,J.Harris,GB,-11,-11.30%,40,,205,3,60%,1991,264
279,J.Tice,NO,-21,-18.10%,29,,119,0,76%,1991,230
280,C.Dressel,NYJ,-37,-27.50%,26,,73,0,65%,1991,122
281,J.Thornton,CHI,-38,-21.40%,39,,143,1,44%,1991,278
282,Ro.Hall,TB,-44,-22.20%,49,,153,0,63%,1991,284
283,C.Kay,DEN,-51,-36.10%,26,,37,0,42%,1991,139
284,H.Brenner,NO,-52,-29.50%,33,,84,0,48%,1991,179
285,D.Walker,SD,-89,-44.60%,36,,7,0,56%,1991,134
286,T.Orr,WAS,47,27.40%,19,,217,4,53%,1991,201
287,M.Tice,SEA,43,34.20%,12,,182,4,83%,1991,70
288,E.Kattus,CIN,40,27.30%,17,,183,0,71%,1991,136
289,A.Cooper,PIT,39,25.70%,19,,183,2,58%,1991,147
290,K.Jennings,CHI,37,37.10%,11,,152,0,73%,1991,109
291,J.Anderson,TB,35,35.30%,10,,146,2,60%,1991,73
292,F.Edmunds,MIA,32,17.50%,16,,179,2,69%,1991,118
293,A.Glover,LARD,17,15.50%,9,,100,3,56%,1991,45
294,Keith Cash,PIT,15,10.00%,12,,104,1,58%,1991,90
295,M.Johnson,PHI,15,9.10%,13,,106,2,46%,1991,70
296,A.Cox,SD,10,11.20%,8,,65,0,63%,1991,53
297,B.Coates,NE,0,-7.10%,16,,91,1,63%,1991,95
298,B.Mrosko,IND,-1,-8.10%,15,,93,0,53%,1991,90
299,R.Johnson,DEN,-4,-12.00%,11,,62,1,55%,1991,73
300,M.Mularkey,PIT,-5,-12.80%,14,,68,0,43%,1991,67
301,T.Jorden,PHX,-16,-17.80%,23,,92,0,65%,1991,127
302,P.Beach,IND,-16,-29.50%,11,,26,0,45%,1991,56
303,P.Carter,LARM,-19,-23.80%,16,,55,2,50%,1991,69
304,W.Reeves,PHX,-77,-79.60%,16,,-79,0,50%,1991,50
305,B.Jones,SF,197,40.20%,64,,779,4,70%,1992,628
306,M.Bavaro,CLE1,119,42.80%,35,,461,2,71%,1992,315
307,T.Orr,WAS,104,37.70%,33,,422,3,67%,1992,356
308,S.Jordan,MIN,104,33.20%,40,,442,2,70%,1992,394
309,J.Novacek,DAL,100,8.00%,99,,773,6,69%,1992,630
310,R.Holman,CIN,95,29.60%,38,,423,2,68%,1992,266
311,K.Jackson,MIA,88,11.50%,69,,590,5,70%,1992,594
312,P.Metzelaars,BUF,85,19.50%,43,,450,6,70%,1992,298
313,Ro.Hall,TB,79,14.90%,54,,471,4,72%,1992,351
314,K.Jennings,CHI,65,21.30%,33,,333,1,70%,1992,264
315,S.Sharpe,DEN,59,5.10%,77,,534,2,69%,1992,640
316,C.Thompson,CIN,59,20.70%,28,,304,2,68%,1992,194
317,J.Harris,GB,51,2.20%,82,,565,2,67%,1992,595
318,P.Carter,LARM,41,11.10%,35,,279,3,57%,1992,232
319,H.Cross,NYG,40,7.70%,41,,309,2,66%,1992,357
320,P.Holohan,CLE1,28,9.30%,25,,202,0,80%,1992,170
321,B.Coates,NE,22,2.50%,34,,235,3,59%,1992,171
322,Kerry Cash,IND,17,-3.80%,76,,455,3,57%,1992,521
323,J.Price,LARM,5,-5.90%,57,,326,2,60%,1992,324
324,A.Cooper,PIT,-2,-8.00%,31,,196,3,52%,1992,197
325,D.Walker,SD,-6,-8.80%,62,,333,2,55%,1992,393
326,J.Mitchell,NYJ,-12,-13.70%,29,,128,1,55%,1992,210
327,M.Cook,NE,-62,-19.20%,75,,303,2,69%,1992,413
328,E.Horton,LARD,-83,-25.00%,71,,214,2,46%,1992,409
329,M.Boyer,NYJ,-93,-48.90%,33,,-15,0,58%,1992,149
330,R.Heller,SEA,-99,-58.50%,29,,-53,0,41%,1992,85
331,R.Johnson,DEN,51,67.60%,11,,169,1,91%,1992,139
332,Keith Cash,KC,41,31.50%,15,,178,2,80%,1992,113
333,P.Beach,PHI,28,24.30%,13,,135,2,62%,1992,75
334,F.Wainright,NO,27,17.80%,15,,147,0,60%,1992,143
335,C.Arbuckle,IND,25,12.50%,18,,161,1,72%,1992,152
336,Ty.Armstrong,TB,9,2.60%,14,,99,1,50%,1992,138
337,J.Hayes,KC,9,1.80%,15,,104,2,60%,1992,77
338,A.Glover,LARD,5,-3.90%,22,,143,1,68%,1992,178
339,P.Green,SEA,0,-7.00%,13,,74,1,69%,1992,67
340,F.Edmunds,MIA,-5,-11.20%,17,,93,1,59%,1992,91
341,K.McKeller,BUF,-8,-14.50%,16,,71,0,88%,1992,110
342,E.Green,PIT,-11,-13.70%,24,,116,2,58%,1992,152
343,R.Middleton,WAS,-13,-25.00%,11,,32,0,64%,1992,50
344,K.Blackwell,CHI,-18,-30.20%,12,,27,0,42%,1992,54
345,C.Kay,DEN,-19,-28.90%,14,,33,0,50%,1992,56
346,J.Williams,SF,-21,-27.50%,14,,41,1,50%,1992,76
347,D.Brown,NYG,-22,-34.70%,12,,19,0,33%,1992,31
348,E.West,GB,-24,-45.50%,10,,1,0,40%,1992,30
349,W.Reeves,PHX,-29,-47.20%,10,,-2,0,60%,1992,28
350,H.Brenner,NO,-36,-28.60%,24,,64,0,50%,1992,161
351,J.Riggs,CIN,-59,-43.50%,24,,9,0,46%,1992,70
352,B.Rolle,PHX,-62,-46.70%,22,,-3,0,59%,1992,64
353,S.Sharpe,DEN,358,40.20%,110,,"1,414",9,74%,1993,995
354,B.Jones,SF,173,20.20%,94,,905,3,72%,1993,735
355,E.Green,PIT,146,12.20%,114,,946,5,55%,1993,942
356,J.Mitchell,NYJ,127,18.40%,72,,694,6,54%,1993,630
357,M.Bavaro,PHI,122,18.60%,72,,666,6,60%,1993,481
358,B.Coates,NE,118,10.80%,93,,805,8,57%,1993,659
359,B.Kinchen,CLE1,107,29.50%,45,,479,2,64%,1993,347
360,T.Drayton,LARM,90,27.20%,38,,418,4,68%,1993,314
361,K.Jackson,MIA,85,10.30%,73,,591,6,53%,1993,614
362,J.Harris,GB,84,10.00%,73,,591,4,58%,1993,604
363,P.Metzelaars,BUF,82,5.00%,95,,741,4,72%,1993,609
364,To.McGee,CIN,74,8.80%,70,,547,0,63%,1993,525
365,S.Jordan,MIN,72,8.00%,73,,551,1,77%,1993,542
366,H.Cross,NYG,70,19.70%,36,,369,5,58%,1993,272
367,J.Hayes,KC,49,11.50%,38,,327,1,63%,1993,331
368,Keith Cash,KC,44,10.60%,34,,302,4,71%,1993,242
369,J.Novacek,DAL,27,-1.20%,68,,427,1,65%,1993,445
370,R.Holman,DET,26,3.40%,37,,262,2,68%,1993,244
371,P.Carter,LARM,2,-6.00%,30,,159,1,47%,1993,166
372,E.Horton,LARD,-8,-8.90%,78,,388,1,55%,1993,467
373,I.Smith,NO,-10,-11.60%,32,,174,2,50%,1993,180
374,R.Johnson,DEN,-10,-11.70%,34,,176,1,59%,1993,243
375,E.West,GB,-17,-13.30%,42,,202,0,60%,1993,253
376,D.Walker,SD,-20,-14.90%,39,,179,1,54%,1993,212
377,C.Thompson,CIN,-41,-31.20%,28,,55,1,61%,1993,87
378,R.Middleton,WAS,-43,-24.20%,39,,120,2,62%,1993,154
379,M.Cook,NE,-45,-24.70%,38,,119,1,58%,1993,154
380,F.Edmunds,SEA,-63,-26.10%,45,,144,2,53%,1993,239
381,P.Green,SEA,-75,-31.30%,47,,99,1,49%,1993,178
382,R.Hall,TB,-78,-28.70%,60,,137,1,38%,1993,268
383,Kerry Cash,IND,-82,-23.70%,76,,240,3,57%,1993,402
384,H.Brenner,NO,59,48.30%,16,,218,1,69%,1993,171
385,J.Thornton,NYJ,45,35.20%,17,,188,2,71%,1993,108
386,D.Tennell,MIN,38,24.10%,18,,186,0,83%,1993,122
387,J.Williams,SF,27,12.70%,20,,173,1,80%,1993,132
388,K.Jennings,CHI,23,14.10%,17,,141,0,82%,1993,150
389,A.Pupunu,SD,19,7.60%,19,,149,0,68%,1993,142
390,G.Baty,MIA,10,8.20%,11,,76,1,45%,1993,78
391,M.Lyons,ATL,0,-7.50%,12,,60,0,67%,1993,63
392,D.Brown,NYG,-12,-21.00%,14,,46,0,50%,1993,56
